sample_name	species	population	bam
EU2-24-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-24-1.ragweed2021.realigned.bam
EU2-25-14	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-25-14.ragweed2021.realigned.bam
EU2-25-15	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-25-15.ragweed2021.realigned.bam
EU2-26-12	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-26-12.ragweed2021.realigned.bam
EU2-26-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-26-1.ragweed2021.realigned.bam
EU2-30-12	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-30-12.ragweed2021.realigned.bam
EU2-30-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-30-1.ragweed2021.realigned.bam
EU2-31-11	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-31-11.ragweed2021.realigned.bam
EU2-31-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-31-1.ragweed2021.realigned.bam
EU2-32-12	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-32-12.ragweed2021.realigned.bam
EU2-32-13	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-32-13.ragweed2021.realigned.bam
EU2-33-10	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-33-10.ragweed2021.realigned.bam
EU2-33-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-33-1.ragweed2021.realigned.bam
EU2-35-14	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-35-14.ragweed2021.realigned.bam
