sample_title;Accession;sample_description;tissue_type;geographic location (region and locality)
BAL_22_M-HER018;ERS11963912;Baltic Spring Spawning herring;tissue;Kalix, Finland, 2002
BAL_22_M-HER019;ERS11963913;Baltic Spring Spawning herring;tissue;Kalmarsund, Sweden, 2010
BAL_22_M-HER020;ERS11963914;Baltic Spring Spawning herring;tissue;Kalmarsund, Sweden, 2010
BAL_22_M-HER021;ERS11963915;Baltic Spring Spawning herring;tissue;Kalmarsund, Sweden, 2010
BAL_22_M-HER022;ERS11963916;Atlantic Spring Spawning herring;fin tip;Idefjord - Inner, Norway, 2010
BAL_22_M-HER023;ERS11963917;Atlantic Spring Spawning herring;fin tip;Idefjord - Inner, Norway, 2010
BAL_22_M-HER024;ERS11963918;Atlantic Spring Spawning herring;fin tip;Idefjord - Inner, Norway, 2010
BAL_22_M-HER025;ERS11963919;Baltic Spring Spawning herring;tissue;Blekinge, Sweden, 2010
BAL_22_M-HER026;ERS11963920;Baltic Spring Spawning herring;tissue;Blekinge, Sweden, 2010
BAL_22_M-HER027;ERS11963921;Baltic Spring Spawning herring;tissue;Blekinge, Sweden, 2010
BAL_22_M-HER028;ERS11963922;Atlantic Spring Spawning herring;tissue;Idefjord - Outer, Norway, 2010
BAL_22_M-HER029;ERS11963923;Atlantic Spring Spawning herring;tissue;Idefjord - Outer, Norway, 2010
BAL_22_M-HER030;ERS11963924;Atlantic Spring Spawning herring;tissue;Idefjord - Outer, Norway, 2010
BAL_22_M-HER034;ERS11963925;Atlantic Spring Spawning herring;tissue;Måseskär, Sweden, 2003
BAL_22_M-HER035;ERS11963926;Atlantic Spring Spawning herring;tissue;Måseskär, Sweden, 2003
BAL_22_M-HER036;ERS11963927;Atlantic Spring Spawning herring;tissue;Måseskär, Sweden, 2003
BAL_22_M-HER037;ERS11963928;Atlantic Spring Spawning herring;tissue;Måseskär, Sweden, 2003
BAL_22_M-HER038;ERS11963929;Atlantic Spring Spawning herring;tissue;Risor, Norway, 2003
BAL_22_M-HER039;ERS11963930;Atlantic Spring Spawning herring;tissue;Risor, Norway, 2003
BAL_22_M-HER044;ERS11963931;Atlantic Spring Spawning herring;fin tip;Idefjord - Outer, Norway, 2010
BAL_22_M-HER045;ERS11963932;Atlantic Spring Spawning herring;tissue;Idefjord - Outer, Norway, 2010
BAL_22_M-HER046;ERS11963933;Atlantic Spring Spawning herring;tissue;Idefjord - Outer, Norway, 2010
BAL_22_M-HER052;ERS11963934;Baltic Spring Spawning herring;tissue;Kalmarsund, Sweden, 2010
BAL_22_M-HER053;ERS11963935;Atlantic Spring Spawning herring;tissue;Karmoy, Norway, 2002
BAL_22_M-HER054;ERS11963936;Baltic Spring Spawning herring;tissue;Kalix, Finland, 2002
BAL_22_M-HER055;ERS11963937;Baltic Spring Spawning herring;tissue;Kalix, Finland, 2002
BAL_22_M-HER056;ERS11963938;Baltic Spring Spawning herring;tissue;Kalix, Finland, 2002
BAL_22_M-HER057;ERS11963939;Baltic Spring Spawning herring;tissue;Blekinge, Sweden, 2010
BAL_22_M-HER058;ERS11963940;Baltic Spring Spawning herring;tissue;Blekinge, Sweden, 2010
BAL_22_M-HER059;ERS11963941;Baltic Spring Spawning herring;tissue;Blekinge, Sweden, 2010
BAL_22_M-HER061;ERS11963942;Atlantic Spring Spawning herring;tissue;Idefjord - Inner, Norway, 2010
BAL_22_M-HER062;ERS11963943;Atlantic Spring Spawning herring;tissue;Idefjord - Inner, Norway, 2010
BAL_22_M-HER063;ERS11963944;Atlantic Spring Spawning herring;fin tip;Idefjord - Outer, Norway, 2010
BAL_22_M-HER064;ERS11963945;Atlantic Spring Spawning herring;fin tip;Idefjord - Outer, Norway, 2010
BAL_22_M-HER065;ERS11963946;Atlantic Spring Spawning herring;tissue;Risor, Norway, 2003
BAL_22_M-HER066;ERS11963947;Atlantic Spring Spawning herring;tissue;Risor, Norway, 2003
