"sample_title","sample_accession","run_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)"
"BAL_22_HER115","SAMEA14369659","ERR9709194","Clupea harengus","HER115E1bL2",818237592,"ERS11963888","Western Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 10th-11th century"
"BAL_22_HER116","SAMEA14369660","ERR9709195","Clupea harengus","HER116E1bL2",2400485354,"ERS11963889","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 1290-1380 CE"
"BAL_22_HER117","SAMEA14369661","ERR9709196","Clupea harengus","HER117E1bL2",1444376910,"ERS11963890","Western Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 1290-1380 CE"
"BAL_22_HER118a","SAMEA14369662","ERR9709197","Clupea harengus","HER118E1bL2",889893434,"ERS11963891","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 1290-1380 CE"
"BAL_22_HER118b","SAMEA14369663","ERR9709198","Clupea harengus","HER118E1bL2",17982710800,"ERS11963892","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 1290-1380 CE"
"BAL_22_HER118c","SAMEA14369664","ERR9709199","Clupea harengus","HER118E1bL2",535940072,"ERS11963893","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 1290-1380 CE"
"BAL_22_HER118d","SAMEA14369665","ERR9709200","Clupea harengus","HER118E1bL2",1315984026,"ERS11963894","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 1290-1380 CE"
"BAL_22_HER118e","SAMEA14369666","ERR9709201","Clupea harengus","HER118E1bL2",8864153302,"ERS11963895","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 1290-1380 CE"
"BAL_22_M-HER001","SAMEA14369667","ERR9709202","Clupea harengus","M-HER001",15386454852,"ERS11963896","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002"
"BAL_22_M-HER002","SAMEA14369669","ERR9709203","Clupea harengus","M-HER002",8856244526,"ERS11963897","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002"
"BAL_22_M-HER003","SAMEA14369670","ERR9709204","Clupea harengus","M-HER003",14252886980,"ERS11963898","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002"
"BAL_22_M-HER005","SAMEA14369671","ERR9709205","Clupea harengus","M-HER005",7763336122,"ERS11963899","Atlantic Spring Spawning herring","tissue","More, Norway, 2002"
"BAL_22_M-HER006","SAMEA14369672","ERR9709206","Clupea harengus","M-HER006",11814029506,"ERS11963900","Atlantic Spring Spawning herring","tissue","More, Norway, 2002"
"BAL_22_M-HER007","SAMEA14369673","ERR9709207","Clupea harengus","M-HER007",16931183040,"ERS11963901","Atlantic Spring Spawning herring","tissue","More, Norway, 2002"
"BAL_22_M-HER008","SAMEA14369674","ERR9709208","Clupea harengus","M-HER008",13166245982,"ERS11963902","Atlantic Spring Spawning herring","tissue","More, Norway, 2002"
"BAL_22_M-HER009","SAMEA14369675","ERR9709209","Clupea harengus","M-HER009",21581909956,"ERS11963903","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003"
"BAL_22_M-HER010","SAMEA14369676","ERR9709210","Clupea harengus","M-HER010",17897150576,"ERS11963904","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003"
"BAL_22_M-HER011","SAMEA14369677","ERR9709211","Clupea harengus","M-HER011",16376773554,"ERS11963905","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003"
"BAL_22_M-HER012","SAMEA14369678","ERR9709212","Clupea harengus","M-HER012",15681726594,"ERS11963906","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003"
