sample_accession	run_accession	scientific_name	library_name	base_count	sample_alias	sample_title
SAMN15398052	SRR12106929	Clupea harengus	AAL2_CelticSea_Atlantic_Winter_rg2	6167820896	AAL2_CelticSea	AAL2_CelticSea
SAMN15398051	SRR12106931	Clupea harengus	AAL1_CelticSea_Atlantic_Winter_rg2	5335574732	AAL1_CelticSea	AAL1_CelticSea
SAMN15398051	SRR12106933	Clupea harengus	AAL1_CelticSea_Atlantic_Winter_rg1	5385676532	AAL1_CelticSea	AAL1_CelticSea
SAMN15398050	SRR12106935	Clupea harengus	AK3_Downs_Atlantic_Winter_rg1	5844696298	AK3_Downs	AK3_Downs
SAMN15398048	SRR12106938	Clupea harengus	AK1_Downs_Atlantic_Winter_rg2	5631713818	AK1_Downs	AK1_Downs
SAMN15398048	SRR12106939	Clupea harengus	AK1_Downs_Atlantic_Winter_rg1	5692526954	AK1_Downs	AK1_Downs
SAMN15398047	SRR12106940	Clupea harengus	Z14_IsleofMan_Atlantic_Autumn_rg2	6379682050	Z14_IsleofMan	Z14_IsleofMan
SAMN15398034	SRR12106943	Clupea pallasii	Pacific5_Vancouver_Pacific_rg1	17069108700	Pacific5	Pacific5
SAMN15398044	SRR12106947	Clupea harengus	NorthSea34_NorthSea_Atlantic_Autumn_rg1	15850303000	NorthSea34	NorthSea34
SAMN15398041	SRR12106951	Clupea harengus	NSSH36_Norway_Atlantic_Spring_rg1	5340273852	NSSH36	NSSH36
SAMN15398040	SRR12106952	Clupea harengus	NSSH34_Norway_Atlantic_Spring_rg2	6668171174	NSSH34	NSSH34
SAMN15398036	SRR12106963	Clupea pallasii	Pacific30_Vancouver_Pacific_rg3	7344657900	Pacific30	Pacific30
SAMN20114586	SRR15068285	Clupea pallasii	HWS-52_rg1	44819647558	HWS-52	Model organism or animal sample from Clupea pallasii
SAMN20114584	SRR15068287	Clupea pallasii	HWS-44_rg1	52295259522	HWS-44	Model organism or animal sample from Clupea pallasii
SAMN20114582	SRR15068289	Clupea pallasii	HWS-42_rg1	49870903786	HWS-42	Model organism or animal sample from Clupea pallasii
SAMN20114600	SRR15068298	Clupea pallasii	HWS-14_rg1	48135311900	HWS-14	Model organism or animal sample from Clupea pallasii
SAMN20114599	SRR15068299	Clupea pallasii	HWS-13_rg1	38892704580	HWS-13	Model organism or animal sample from Clupea pallasii
SAMN20114597	SRR15068301	Clupea pallasii	HWS-11_rg1	31513045566	HWS-11	Model organism or animal sample from Clupea pallasii
